Jaro-Winkler distance,ours,closest CAC match
1.0,1 Medical Center Dr - Lebanon - NH - 03766,1 Medical Center Dr - Lebanon - NH - 03766
1.0,903 Randolph St - Thomasville - NC - 27360,903 Randolph St - Thomasville - NC - 27360
1.0,1000 Morris Ave - Union - NJ - 07083,1000 Morris Ave - Union - NJ - 07083
1.0,315 Mocksville Ave - Salisbury - NC - 28144,315 Mocksville Ave - Salisbury - NC - 28144
1.0,901 Long Beach Blvd - Ship Bottom - NJ - 08008,901 Long Beach Blvd - Ship Bottom - NJ - 08008
1.0,214 Center Grove Rd - Randolph - NJ - 07869,214 Center Grove Rd - Randolph - NJ - 07869
1.0,1 Riverview Plaza - Red Bank - NJ - 07701,1 Riverview Plaza - Red Bank - NJ - 07701
1.0,116 Garden State Pkwy - Holmdel - NJ - 07733,116 Garden State Pkwy - Holmdel - NJ - 07733
1.0,1 Ocean Pkwy - Wantagh - NY - 11793,1 Ocean Pkwy - Wantagh - NY - 11793
1.0,1945 NJ-33 - Neptune City - NJ - 07753,1945 NJ-33 - Neptune City - NJ - 07753
1.0,530 New Brunswick Ave - Perth Amboy - NJ - 08861,530 New Brunswick Ave - Perth Amboy - NJ - 08861
1.0,7600 River Rd - North Bergen - NJ - 07047,7600 River Rd - North Bergen - NJ - 07047
1.0,55 Meadowlands Pkwy - Secaucus - NJ - 07094,55 Meadowlands Pkwy - Secaucus - NJ - 07094
1.0,556 Passaic Ave - West Caldwell - NJ - 07006,556 Passaic Ave - West Caldwell - NJ - 07006
1.0,1 Bay St - Montclair - NJ - 07042,1 Bay St - Montclair - NJ - 07042
1.0,250 Old Hook Rd - Westwood - NJ - 07675,250 Old Hook Rd - Westwood - NJ - 07675
1.0,30 Prospect Ave - Hackensack - NJ - 07601,30 Prospect Ave - Hackensack - NJ - 07601
1.0,356 9th St - Cimarron - NM - 87714,356 9th St - Cimarron - NM - 87714
1.0,11 Elliott Barker Ln - Angel Fire - NM - 87710,11 Elliott Barker Ln - Angel Fire - NM - 87710
1.0,2450 S Telshor Blvd - Las Cruces - NM - 88011,2450 S Telshor Blvd - Las Cruces - NM - 88011
1.0,300 Wilson St - Clayton - NM - 88415,300 Wilson St - Clayton - NM - 88415
1.0,1397 Weimer Rd - Taos - NM - 87571,1397 Weimer Rd - Taos - NM - 87571
1.0,4801 Beckner Rd - Santa Fe - NM - 87507,4801 Beckner Rd - Santa Fe - NM - 87507
1.0,2669 N Scenic Dr - Alamogordo - NM - 88310,2669 N Scenic Dr - Alamogordo - NM - 88310
0.9961538461538462,2110 Sunset Blvd Suite M - Los Angeles - CA - 90026,"2110 Sunset Blvd, Suite M - Los Angeles - CA - 90026"
0.996,1721 Rio Rancho Blvd SE - Rio Rancho - NM - 87124,1721 Rio Rancho Blvd. SE - Rio Rancho - NM - 87124
